"","Wind","mean_value","UP_value","Low_value"
"1",0.2692,-5.34459806137672,-4.36361469212221,-6.32558143063123
"2",0.356117171717172,-5.35624025295838,-4.38340058281876,-6.329079923098
"3",0.443034343434343,-5.36788244454003,-4.40295268805203,-6.33281220102804
"4",0.529951515151515,-5.37952463612169,-4.42226521243873,-6.33678405980465
"5",0.616868686868687,-5.39116682770334,-4.44133235179774,-6.34100130360895
"6",0.703785858585859,-5.402809019285,-4.46014830772271,-6.34546973084728
"7",0.79070303030303,-5.41445121086665,-4.4787073031961,-6.3501951185372
"8",0.877620202020202,-5.42609340244831,-4.49700359921227,-6.35518320568435
"9",0.964537373737374,-5.43773559402996,-4.51503151236184,-6.36043967569809
"10",1.05145454545455,-5.44937778561162,-4.53278543331314,-6.3659701379101
"11",1.13837171717172,-5.46101997719328,-4.55025984610919,-6.37178010827736
"12",1.22528888888889,-5.47266216877493,-4.56744934818094,-6.37787498936893
"13",1.31220606060606,-5.48430436035659,-4.5843486709594,-6.38426004975378
"14",1.39912323232323,-5.49594655193824,-4.60095270095143,-6.39094040292506
"15",1.4860404040404,-5.5075887435199,-4.6172565011265,-6.39792098591329
"16",1.57295757575758,-5.51923093510155,-4.63325533244565,-6.40520653775745
"17",1.65987474747475,-5.53087312668321,-4.64894467534891,-6.41280157801751
"18",1.74679191919192,-5.54251531826486,-4.664320251005,-6.42071038552473
"19",1.83370909090909,-5.55415750984652,-4.67937804211685,-6.42893697757618
"20",1.92062626262626,-5.56579970142817,-4.69411431306926,-6.43748508978709
"21",2.00754343434343,-5.57744189300983,-4.70852562920148,-6.44635815681818
"22",2.09446060606061,-5.58908408459148,-4.7226088749876,-6.45555929419537
"23",2.18137777777778,-5.60072627617314,-4.73636127091163,-6.46509128143465
"24",2.26829494949495,-5.61236846775479,-4.74978038883266,-6.47495654667693
"25",2.35521212121212,-5.62401065933645,-4.76286416564818,-6.48515715302472
"26",2.44212929292929,-5.63565285091811,-4.77561091508018,-6.49569478675603
"27",2.52904646464646,-5.64729504249976,-4.78801933742992,-6.50657074756961
"28",2.61596363636364,-5.65893723408142,-4.80008852717087,-6.51778594099196
"29",2.70288080808081,-5.67057942566307,-4.81181797827751,-6.52934087304864
"30",2.78979797979798,-5.68222161724473,-4.82320758721682,-6.54123564727263
"31",2.87671515151515,-5.69386380882638,-4.83425765356165,-6.55346996409112
"32",2.96363232323232,-5.70550600040804,-4.84496887821722,-6.56604312259886
"33",3.0505494949495,-5.71714819198969,-4.85534235928543,-6.57895402469396
"34",3.13746666666667,-5.72879038357135,-4.86537958562351,-6.59220118151919
"35",3.22438383838384,-5.740432575153,-4.87508242818476,-6.60578272212125
"36",3.31130101010101,-5.75207476673466,-4.8844531292577,-6.61969640421162
"37",3.39821818181818,-5.76371695831631,-4.89349428974601,-6.63393962688662
"38",3.48513535353535,-5.77535914989797,-4.90220885465421,-6.64850944514173
"39",3.57205252525253,-5.78700134147963,-4.91060009696311,-6.66340258599614
"40",3.6589696969697,-5.79864353306128,-4.91867160009345,-6.67861546602911
"41",3.74588686868687,-5.81028572464294,-4.92642723916725,-6.69414421011862
"42",3.83280404040404,-5.82192791622459,-4.93387116128221,-6.70998467116698
"43",3.91972121212121,-5.83357010780625,-4.941007765017,-6.7261324505955
"44",4.00663838383838,-5.8452122993879,-4.9478416793834,-6.74258291939241
"45",4.09355555555556,-5.85685449096956,-4.95437774243567,-6.75933123950345
"46",4.18047272727273,-5.86849668255121,-4.96062097973913,-6.7763723853633
"47",4.2673898989899,-5.88013887413287,-4.96657658288833,-6.79370116537741
"48",4.35430707070707,-5.89178106571452,-4.97224988825146,-6.81131224317759
"49",4.44122424242424,-5.90342325729618,-4.97764635610214,-6.82920015849022
"50",4.52814141414141,-5.91506544887783,-4.98277155028283,-6.84735934747284
"51",4.61505858585859,-5.92670764045949,-4.98763111852653,-6.86578416239245
"52",4.70197575757576,-5.93834983204115,-4.99223077354526,-6.88446889053703
"53",4.78889292929293,-5.9499920236228,-4.99657627497599,-6.90340777226962
"54",4.8758101010101,-5.96163421520446,-5.0006734122569,-6.92259501815201
"55",4.96272727272727,-5.97327640678611,-5.0045279884903,-6.94202482508192
"56",5.04964444444444,-5.98491859836777,-5.00814580533201,-6.96169139140352
"57",5.13656161616162,-5.99656078994942,-5.01153264893299,-6.98158893096586
"58",5.22347878787879,-6.00820298153108,-5.01469427694469,-7.00171168611747
"59",5.31039595959596,-6.01984517311273,-5.01763640658813,-7.02205393963733
"60",5.39731313131313,-6.03148736469439,-5.02036470377545,-7.04261002561333
"61",5.4842303030303,-6.04312955627604,-5.02288477326364,-7.06337433928845
"62",5.57114747474747,-6.0547717478577,-5.02520214981225,-7.08434134590315
"63",5.65806464646465,-6.06641393943935,-5.02732229031013,-7.10550558856858
"64",5.74498181818182,-6.07805613102101,-5.029250566831,-7.12686169521102
"65",5.83189898989899,-6.08969832260267,-5.03099226057366,-7.14840438463167
"66",5.91881616161616,-6.10134051418432,-5.03255255663933,-7.17012847172931
"67",6.00573333333333,-6.11298270576598,-5.0339365395967,-7.19202887193525
"68",6.09265050505051,-6.12462489734763,-5.03514918978401,-7.21410060491125
"69",6.17956767676768,-6.13626708892929,-5.03619538029704,-7.23633879756154
"70",6.26648484848485,-6.14790928051094,-5.03707987461186,-7.25873868641003
"71",6.35340202020202,-6.1595514720926,-5.03780732479236,-7.28129561939284
"72",6.44031919191919,-6.17119366367425,-5.03838227023324,-7.30400505711527
"73",6.52723636363636,-6.18283585525591,-5.03880913689116,-7.32686257362065
"74",6.61415353535354,-6.19447804683756,-5.03909223695836,-7.34986385671677
"75",6.70107070707071,-6.20612023841922,-5.03923576893509,-7.37300470790335
"76",6.78798787878788,-6.21776243000087,-5.03924381805981,-7.39628104194194
"77",6.87490505050505,-6.22940462158253,-5.03912035705791,-7.41968888610715
"78",6.96182222222222,-6.24104681316419,-5.03886924717256,-7.44322437915582
"79",7.04873939393939,-6.25268900474584,-5.03849423944359,-7.46688377004809
"80",7.13565656565657,-6.2643311963275,-5.03799897620262,-7.49066341645238
"81",7.22257373737374,-6.27597338790915,-5.03738699275512,-7.51455978306318
"82",7.30949090909091,-6.28761557949081,-5.03666171922254,-7.53856943975907
"83",7.39640808080808,-6.29925777107246,-5.03582648251946,-7.56268905962547
"84",7.48332525252525,-6.31089996265412,-5.03488450844342,-7.58691541686482
"85",7.57024242424242,-6.32254215423577,-5.03383892385666,-7.61124538461489
"86",7.6571595959596,-6.33418434581743,-5.03269275894113,-7.63567593269373
"87",7.74407676767677,-6.34582653739908,-5.03144894950996,-7.66020412528821
"88",7.83099393939394,-6.35746872898074,-5.03011033936027,-7.68482711860121
"89",7.91791111111111,-6.3691109205624,-5.02867968265361,-7.70954215847118
"90",8.00482828282828,-6.38075311214405,-5.02715964631219,-7.73434657797591
"91",8.09174545454546,-6.39239530372571,-5.02555281241994,-7.75923779503147
"92",8.17866262626263,-6.40403749530736,-5.02386168061911,-7.78421330999561
"93",8.2655797979798,-6.41567968688902,-5.02208867049396,-7.80927070328407
"94",8.35249696969697,-6.42732187847067,-5.02023612393443,-7.83440763300692
"95",8.43941414141414,-6.43896407005233,-5.01830630747337,-7.85962183263129
"96",8.52633131313131,-6.45060626163398,-5.01630141459201,-7.88491110867595
"97",8.61324848484849,-6.46224845321564,-5.01422356798904,-7.91027333844224
"98",8.70016565656566,-6.47389064479729,-5.01207482180927,-7.93570646778531
"99",8.78708282828283,-6.48553283637895,-5.00985716382892,-7.96120850892897
"100",8.874,-6.4971750279606,-5.0075725175945,-7.98677753832671
