"","settlement1500","mean_value","UP_value","Low_value"
"1",-6.9732021,-2.74177062504693,-1.55411053220232,-3.92943071789154
"2",-5.78360531616162,-2.80634728889829,-1.63139975537592,-3.98129482242066
"3",-4.59400853232323,-2.87092395274965,-1.70853077758419,-4.03331712791512
"4",-3.40441174848485,-2.93550061660102,-1.78549841766465,-4.08550281553738
"5",-2.21481496464647,-3.00007728045238,-1.86229733767258,-4.13785722323218
"6",-1.02521818080808,-3.06465394430374,-1.93892204212995,-4.19038584647754
"7",0.164378603030301,-3.12923060815511,-2.01536687784608,-4.24309433846414
"8",1.35397538686868,-3.19380727200647,-2.09162603438248,-4.29598850963046
"9",2.54357217070707,-3.25838393585783,-2.16769354523863,-4.34907432647704
"10",3.73316895454545,-3.3229605997092,-2.24356328983944,-4.40235790957895
"11",4.92276573838384,-3.38753726356056,-2.31922899640853,-4.45584553071259
"12",6.11236252222222,-3.45211392741192,-2.39468424581462,-4.50954360900922
"13",7.3019593060606,-3.51669059126329,-2.46992247648005,-4.56345870604653
"14",8.49155608989899,-3.58126725511465,-2.54493699044173,-4.61759751978757
"15",9.68115287373737,-3.64584391896601,-2.61972096065472,-4.67196687727731
"16",10.8707496575758,-3.71042058281738,-2.6942674396267,-4.72657372600805
"17",12.0603464414141,-3.77499724666874,-2.76856936946871,-4.78142512386877
"18",13.2499432252525,-3.8395739105201,-2.84261959344197,-4.83652822759824
"19",14.4395400090909,-3.90415057437147,-2.91641086907336,-4.89189027966957
"20",15.6291367929293,-3.96872723822283,-2.98993588290222,-4.94751859354344
"21",16.8187335767677,-4.03330390207419,-3.06318726690881,-5.00342053723958
"22",18.0083303606061,-4.09788056592556,-3.13615761665942,-5.05960351519169
"23",19.1979271444444,-4.16245722977692,-3.20883951118524,-5.1160749483686
"24",20.3875239282828,-4.22703389362828,-3.28122553459082,-5.17284225266574
"25",21.5771207121212,-4.29161055747965,-3.35330829936419,-5.2299128155951
"26",22.7667174959596,-4.35618722133101,-3.42508047133384,-5.28729397132818
"27",23.956314279798,-4.42076388518237,-3.49653479618857,-5.34499297417618
"28",25.1459110636364,-4.48534054903374,-3.5676641274446,-5.40301697062287
"29",26.3355078474747,-4.5499172128851,-3.63846145571131,-5.46137297005889
"30",27.5251046313131,-4.61449387673646,-3.70891993907253,-5.5200678144004
"31",28.7147014151515,-4.67907054058783,-3.77903293436608,-5.57910814680957
"32",29.9042981989899,-4.74364720443919,-3.84879402910992,-5.63850037976845
"33",31.0938949828283,-4.80822386829055,-3.91819707379127,-5.69825066278983
"34",32.2834917666667,-4.87280053214192,-3.98723621420518,-5.75836485007865
"35",33.473088550505,-4.93737719599328,-4.05590592350328,-5.81884846848328
"36",34.6626853343434,-5.00195385984464,-4.12420103359239,-5.8797066860969
"37",35.8522821181818,-5.06653052369601,-4.19211676550781,-5.9409442818842
"38",37.0418789020202,-5.13110718754737,-4.25964875837816,-6.00256561671658
"39",38.2314756858586,-5.19568385139873,-4.32679309659831,-6.06457460619915
"40",39.421072469697,-5.2602605152501,-4.39354633483564,-6.12697469566455
"41",40.6106692535353,-5.32483717910146,-4.45990552051122,-6.1897688376917
"42",41.8002660373737,-5.38941384295282,-4.52586821342412,-6.25295947248152
"43",42.9898628212121,-5.45399050680419,-4.5914325022208,-6.31654851138757
"44",44.1794596050505,-5.51856717065555,-4.65659701745423,-6.38053732385687
"45",45.3690563888889,-5.58314383450691,-4.72136094102663,-6.4449267279872
"46",46.5586531727273,-5.64772049835828,-4.78572401186492,-6.50971698485163
"47",47.7482499565656,-5.71229716220964,-4.84968652773727,-6.574907796682
"48",48.937846740404,-5.776873826061,-4.91324934318141,-6.64049830894059
"49",50.1274435242424,-5.84145048991237,-4.97641386357822,-6.70648711624651
"50",51.3170403080808,-5.90602715376373,-5.03918203546613,-6.77287227206133
"51",52.5066370919192,-5.97060381761509,-5.10155633325104,-6.83965130197915
"52",53.6962338757576,-6.03518048146646,-5.16353974252128,-6.90682122041163
"53",54.8858306595959,-6.09975714531782,-5.22513574022611,-6.97437855040953
"54",56.0754274434343,-6.16433380916918,-5.28634827201803,-7.04231934632033
"55",57.2650242272727,-6.22891047302055,-5.34718172709304,-7.11063921894805
"56",58.4546210111111,-6.29348713687191,-5.40764091088826,-7.17933336285556
"57",59.6442177949495,-6.35806380072327,-5.46773101601277,-7.24839658543378
"58",60.8338145787879,-6.42264046457464,-5.52745759179526,-7.31782333735401
"59",62.0234113626263,-6.487217128426,-5.58682651283129,-7.3876077440207
"60",63.2130081464646,-6.55179379227736,-5.64584394690468,-7.45774363765004
"61",64.402604930303,-6.61637045612873,-5.70451632264199,-7.52822458961546
"62",65.5922017141414,-6.68094711998009,-5.76285029723795,-7.59904394272223
"63",66.7817984979798,-6.74552378383145,-5.82085272456342,-7.67019484309948
"64",67.9713952818182,-6.81010044768282,-5.87853062393754,-7.7416702714281
"65",69.1609920656566,-6.87467711153418,-5.93589114981337,-7.81346307325498
"66",70.3505888494949,-6.93925377538554,-5.99294156259232,-7.88556598817876
"67",71.5401856333333,-7.00383043923691,-6.04968920074785,-7.95797167772596
"68",72.7297824171717,-7.06840710308827,-6.10614145440514,-8.0306727517714
"69",73.9193792010101,-7.13298376693963,-6.16230574049008,-8.10366179338918
"70",75.1089759848485,-7.197560430791,-6.21818947952957,-8.17693138205242
"71",76.2985727686869,-7.26213709464236,-6.27380007415606,-8.25047411512866
"72",77.4881695525252,-7.32671375849372,-6.3291448893428,-8.32428262764464
"73",78.6777663363636,-7.39129042234508,-6.38423123437217,-8.39834961031799
"74",79.867363120202,-7.45586708619645,-6.43906634651902,-8.47266782587388
"75",81.0569599040404,-7.52044375004781,-6.49365737641269,-8.54723012368293
"76",82.2465566878788,-7.58502041389917,-6.54801137502668,-8.62202945277167
"77",83.4361534717172,-7.64959707775054,-6.60213528223242,-8.69705887326866
"78",84.6257502555555,-7.7141737416019,-6.65603591684412,-8.77231156635968
"79",85.8153470393939,-7.77875040545326,-6.70971996807437,-8.84778084283216
"80",87.0049438232323,-7.84332706930463,-6.76319398831498,-8.92346015029427
"81",88.1945406070707,-7.90790373315599,-6.8164643871545,-8.99934307915748
"82",89.3841373909091,-7.97248039700735,-6.86953742654223,-9.07542336747247
"83",90.5737341747475,-8.03705706085872,-6.92241921700854,-9.1516949047089
"84",91.7633309585858,-8.10163372471008,-6.97511571485234,-9.22815173456782
"85",92.9529277424242,-8.16621038856145,-7.02763272020896,-9.30478805691394
"86",94.1425245262626,-8.23078705241281,-7.07997587591406,-9.38159822891156
"87",95.332121310101,-8.29536371626417,-7.13215066708351,-9.45857676544484
"88",96.5217180939394,-8.35994038011554,-7.18416242133241,-9.53571833889866
"89",97.7113148777778,-8.4245170439669,-7.23601630956134,-9.61301777837246
"90",98.9009116616161,-8.48909370781826,-7.28771734724212,-9.69047006839441
"91",100.090508445455,-8.55367037166963,-7.3392703961401,-9.76807034719915
"92",101.280105229293,-8.61824703552099,-7.39068016641474,-9.84581390462724
"93",102.469702013131,-8.68282369937235,-7.44195121904456,-9.92369617970014
"94",103.65929879697,-8.74740036322371,-7.49308796852746,-10.00171275792
"95",104.848895580808,-8.81197702707508,-7.54409468581121,-10.0798593683389
"96",106.038492364646,-8.87655369092644,-7.59497550141354,-10.1581318804393
"97",107.228089148485,-8.9411303547778,-7.64573440869497,-10.2365263008606
"98",108.417685932323,-9.00570701862917,-7.69637526725107,-10.3150387700073
"99",109.607282716162,-9.07028368248053,-7.74690180639482,-10.3936655585662
"100",110.7968795,-9.13486034633189,-7.79731762870239,-10.4724030639614
